Case,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12
Case 1,311,403,535,603,526,693,849,987,621,824,892,1236
Case 2,308,385,530,571,500,679,847,976,631,826,876,1215
Case 3,313,391,546,603,512,668,855,1000,640,841,955,1189
Case 4,321,383,546,577,517,679,820,972,647,821,915,1226
Case 5,316,404,532,618,502,664,834,978,605,816,897,1210
