Case,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12
Case 1,301,406,555,582,489,711,855,981,615,824,965,1282
Case 2,317,373,529,558,481,673,860,964,636,853,1001,1283
Case 3,303,376,529,602,514,694,864,1000,604,867,1035,1252
Case 4,313,382,501,550,517,656,850,955,677,845,956,1291
Case 5,310,376,510,586,524,673,867,969,640,825,963,1336
