Case,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12
Case 1,312,390,527,591,504,674,853,1058,632,874,1011,1320
Case 2,286,403,518,572,488,668,840,1027,637,836,1032,1308
Case 3,330,381,521,614,507,648,859,1030,646,885,1085,1261
Case 4,313,386,517,594,527,676,829,1033,656,833,1011,1304
Case 5,296,394,533,613,500,674,838,1013,628,838,1014,1293
