Case,gap1,gap2,gap3,gap4,gap5,gap6,gap7,gap8,gap9,gap10,gap11,gap12
Case 1,309,421,562,607,555,726,897,1058,626,896,1010,1306
Case 2,295,387,534,558,506,723,912,980,671,873,1048,1270
Case 3,295,398,547,628,503,677,897,1058,650,901,1134,1319
Case 4,316,384,557,531,543,690,904,991,684,887,1065,1277
Case 5,318,411,535,655,526,715,885,1018,631,906,1100,1358
